Folio,Grado,Sexo,Edad,Autoconsciencia1,Autoconsciencia2,Autoconsciencia3,Eficacia1,Eficacia2,Eficacia3,Persistencia1,Persistencia2,Persistencia3,ApoyoEscuela1,ApoyoEscuela2,ApoyoEscuela3,CoherenciaFam1,CoherenciaFam2,CoherenciaFam3,Compañerismo1,Compañerismo2,Compañerismo3,RegulaciónEmo1,RegulaciónEmo2,RegulaciónEmo3,Empatía1,Empatía2,Empatía3,ControlConducta1,ControlConducta2,ControlConducta3,Optimismo1,Optimismo2,Optimismo3,Entusiasmo1,Entusiasmo2,Entusiasmo3,Gratitud1,Gratitud2,Gratitud3,Gratitud4
1,3,1,16,2,3,4,4,3,3,2,1,1,3,4,3,4,3,4,4,4,4,3,3,3,4,3,2,4,3,2,3,3,4,4,3,3,2,3,4,3
2,3,2,15,3,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,2,3,3,3,2,4,3,3,4,3,2,4,3,4,4,3,4,4,4,4,3
3,3,2,15,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,1,15,4,3,4,4,2,3,3,3,2,3,2,3,4,4,4,1,1,1,4,3,3,3,3,3,4,4,3,4,4,4,5,4,5,3,4,5,4
5,3,1,15,2,3,3,3,2,4,2,1,3,3,2,3,2,1,2,4,4,4,3,3,3,3,3,3,2,2,2,4,3,3,4,4,3,2,3,3,3
6,3,2,15,4,4,3,4,3,4,3,2,3,4,4,4,2,3,2,3,3,3,4,4,3,4,4,3,4,4,3,2,2,3,4,4,3,3,2,3,3
7,3,1,16,3,4,3,4,4,3,3,2,3,4,4,3,4,4,3,3,3,3,3,3,2,3,2,3,4,3,3,4,4,4,4,4,4,4,4,4,4
8,3,1,16,3,4,3,4,3,2,3,2,4,3,4,3,4,4,4,3,3,2,4,4,3,3,3,4,4,4,3,4,4,4,4,4,5,4,4,5,4
9,3,1,16,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,5,5,4,5,5,5
10,3,1,15,3,3,2,4,3,3,4,3,2,3,3,3,4,4,3,2,3,2,3,3,3,3,3,2,3,3,4,3,3,4,3,2,3,3,4,4,3
11,3,2,15,3,4,3,,3,2,1,2,3,2,2,4,4,2,4,4,3,3,2,2,4,4,3,4,4,4,3,3,4,4,4,5,5,5,5,5,4
12,3,1,15,3,3,3,4,3,2,4,4,3,3,3,3,3,3,4,3,3,3,3,3,2,2,2,2,3,2,3,3,4,4,3,3,3,3,3,3,3
13,3,1,15,3,4,3,4,3,2,2,3,3,4,2,4,4,4,4,3,3,3,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,5,4
14,3,2,16,2,3,2,4,2,2,3,4,4,3,2,3,3,3,3,3,1,1,3,4,3,3,3,2,4,3,3,4,4,4,4,3,3,3,2,4,4
15,3,2,16,3,4,3,4,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,4,3,3,4,4,3,4,3,3,3,4,4,3,4,4,3,3,4
16,3,2,15,2,2,3,3,2,3,2,3,1,2,3,,1,1,4,1,1,1,2,2,3,1,1,3,4,4,1,3,3,2,1,1,1,1,3,1,1
17,3,1,15,3,4,3,4,4,4,4,3,3,3,4,4,4,4,4,3,3,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,5,5,5
18,3,2,15,3,3,2,4,2,3,3,3,2,4,4,4,4,4,3,2,3,3,2,2,2,4,2,3,3,2,2,3,3,2,3,3,4,3,4,4,3
19,3,1,16,3,2,1,2,3,3,1,2,1,4,2,2,2,3,3,1,1,1,2,2,2,2,3,3,3,2,3,2,2,3,3,1,2,2,3,2,3
20,3,2,16,3,3,4,4,3,3,3,4,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,4,5,4,5,5,4,4,4
21,2,2,16,3,4,3,2,3,3,3,2,3,4,3,3,3,3,4,4,4,4,4,3,3,4,,3,4,4,4,4,3,2,2,2,2,3,3,3,4
22,3,2,16,3,3,3,3,2,3,3,4,3,3,3,3,3,3,3,1,2,2,3,2,3,2,3,3,3,3,2,3,3,3,2,2,3,3,3,4,4
23,2,2,14,3,3,3,4,4,4,3,3,3,4,4,3,4,3,4,4,4,4,3,2,2,2,3,4,4,4,3,2,4,4,2,3,2,2,2,3,2
24,2,2,14,3,3,4,4,3,3,3,2,2,3,4,4,3,2,3,1,2,2,3,4,3,3,2,3,2,3,2,2,3,4,4,4,4,4,3,4,4
25,2,1,14,4,2,3,4,3,,3,4,3,4,4,4,2,3,,3,4,3,4,3,4,3,3,3,2,2,3,4,3,3,5,5,5,,5,5,5
26,1,1,13,2,4,4,4,4,4,4,4,4,4,4,4,4,1,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5
27,1,2,13,1,2,3,4,4,2,2,2,4,4,3,4,2,3,2,2,4,1,4,1,2,2,3,2,4,2,2,4,4,1,,2,3,2,1,3,3
28,1,1,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,5
29,1,2,13,2,3,2,4,1,4,1,4,2,4,4,4,4,,3,1,1,3,4,2,3,4,2,3,3,2,1,3,4,4,3,2,3,3,3,4,4
30,1,1,15,4,3,4,4,4,3,3,3,3,3,4,4,4,3,3,4,4,4,4,4,3,2,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5
31,1,1,13,3,3,4,4,4,3,3,2,3,3,4,4,4,4,4,2,3,4,,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4
32,1,1,13,3,2,3,4,3,2,3,4,4,4,4,4,4,3,2,1,3,3,2,2,3,4,4,3,3,4,2,3,4,4,4,5,5,4,3,4,3
33,1,1,13,4,3,3,2,3,4,2,1,1,1,1,2,3,4,1,3,1,2,4,2,1,1,3,4,2,1,3,4,3,3,3,2,2,3,2,2,1
34,1,2,13,3,2,4,4,3,4,4,3,3,4,4,4,4,3,3,2,2,2,4,4,3,4,4,4,3,1,4,2,2,4,4,3,2,4,4,4,4
35,1,2,13,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,5,4,4,4,4,5,4
36,1,2,14,4,4,4,4,3,,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,3,4,4,4,5,5,5,5,3,5,5
37,1,2,13,4,3,3,4,4,4,3,2,2,4,4,,3,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4
38,1,1,13,4,3,4,,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,,3,4,4,3,3,4,3,4,4,4,5,5,5,5,4,5,4
39,1,2,13,1,3,2,4,3,2,4,3,2,4,4,4,4,4,4,4,4,4,3,1,3,4,4,4,4,4,4,4,4,4,5,5,5,3,3,3,4
40,1,1,13,4,3,4,4,3,3,4,4,4,4,4,4,4,4,3,1,3,4,4,4,3,4,4,4,3,4,4,3,1,4,2,4,3,4,5,4,4
41,1,2,13,3,3,3,4,4,4,3,3,4,3,2,1,4,4,4,1,4,4,3,4,3,4,3,2,3,4,4,3,4,4,3,1,2,3,3,5,4
42,1,2,13,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,4,4
43,1,1,13,2,3,3,4,2,2,3,3,2,4,4,3,3,3,3,4,3,3,3,3,2,2,3,2,2,3,2,3,2,3,3,3,3,4,2,2,4
44,1,1,13,2,3,3,1,3,1,2,1,1,3,4,2,1,2,3,1,1,1,3,3,4,2,2,2,2,2,1,2,2,2,5,5,3,3,3,2,2
45,1,2,13,3,4,2,4,3,2,2,2,3,4,4,4,3,3,3,4,3,4,3,3,2,3,4,4,4,3,2,4,3,4,4,5,4,4,4,3,4
46,1,1,13,3,4,4,4,4,4,1,2,3,4,4,4,4,4,4,4,4,4,2,3,2,3,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4
