"","Grado","Sexo","Edad","Autoconsciencia","Eficacia","Persistencia","ApoyoEscuela","CoherenciaFam","Compañerismo","RegulaciónEmo","Empatía","ControlConducta","Optimismo","Entusiasmo","Gratitud"
"1",3,1,16,3,3.33333333333333,1.33333333333333,3.33333333333333,3.66666666666667,4,3,3,3,3.33333333333333,3.33333333333333,3
"2",3,2,15,3.33333333333333,3,3,4,3.33333333333333,2.66666666666667,2.66666666666667,3.33333333333333,3,3.66666666666667,3.66666666666667,4
"3",3,2,15,4,4,3.33333333333333,4,4,3.66666666666667,4,4,4,4,4,4
"4",3,1,15,3.66666666666667,3,2.66666666666667,2.66666666666667,4,1,3.33333333333333,3,3.66666666666667,4,4.66666666666667,4
"5",3,1,15,2.66666666666667,3,2,2.66666666666667,1.66666666666667,4,3,3,2,3.33333333333333,3.66666666666667,2.66666666666667
"6",3,2,15,3.66666666666667,3.66666666666667,2.66666666666667,4,2.33333333333333,3,3.66666666666667,3.66666666666667,3.66666666666667,2.33333333333333,3.66666666666667,2.66666666666667
"7",3,1,16,3.33333333333333,3.66666666666667,2.66666666666667,3.66666666666667,3.66666666666667,3,2.66666666666667,2.66666666666667,3.33333333333333,4,4,4
"8",3,1,16,3.33333333333333,3,3,3.33333333333333,4,2.66666666666667,3.66666666666667,3.33333333333333,3.66666666666667,4,4.33333333333333,4.33333333333333
"9",3,1,16,3.66666666666667,4,3.66666666666667,4,4,3.66666666666667,4,3.66666666666667,3.66666666666667,4,4.66666666666667,4.66666666666667
"10",3,1,15,2.66666666666667,3.33333333333333,3,3,3.66666666666667,2.33333333333333,3,2.66666666666667,3.33333333333333,3.33333333333333,2.66666666666667,3.66666666666667
"11",3,2,15,3.33333333333333,2.5,2,2.66666666666667,3.33333333333333,3.33333333333333,2.66666666666667,3.66666666666667,3.66666666666667,3.66666666666667,4.66666666666667,5
"12",3,1,15,3,3,3.66666666666667,3,3.33333333333333,3,2.66666666666667,2,2.66666666666667,3.66666666666667,3,3
"13",3,1,15,3.33333333333333,3,2.66666666666667,3.33333333333333,4,3,3.33333333333333,3.66666666666667,3.66666666666667,4,4,4
"14",3,2,16,2.33333333333333,2.66666666666667,3.66666666666667,2.66666666666667,3,1.66666666666667,3.33333333333333,2.66666666666667,3.33333333333333,4,3.33333333333333,3
"15",3,2,16,3.33333333333333,3.33333333333333,3,3.33333333333333,3.66666666666667,3,3.33333333333333,3.66666666666667,3.33333333333333,3.33333333333333,3.66666666666667,3.33333333333333
